발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-11-04 17:00:00+09,1,0,0,0,0,경기,양주시,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2695
2019-11-04 23:00:00+09,1,0,0,0,0,충남,천안시,차대사람,기타,과속,승용차,보행자,5,2696
2019-11-05 01:00:00+09,1,0,0,0,0,강원,철원군,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2697
2019-11-05 01:00:00+09,1,3,1,2,0,대구,동구,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2698
2019-11-05 05:00:00+09,1,0,0,0,0,서울,강서구,차대사람,기타,안전운전 의무 불이행,승합차,보행자,5,2699
2019-11-05 06:00:00+09,1,3,2,1,0,전북,정읍시,차대차,측면충돌,기타,승용차,농기계,1,2700
2019-11-05 08:00:00+09,1,0,0,0,0,경기,용인시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,1,2701
2019-11-05 08:00:00+09,1,0,0,0,0,전북,정읍시,차대차,추돌,안전거리 미확보,이륜차,승용차,2,2702
2019-11-05 13:00:00+09,1,0,0,0,0,인천,서구,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2703
2019-11-05 14:00:00+09,1,0,0,0,0,경북,상주시,차량단독,전도,안전운전 의무 불이행,농기계,없음,5,2704
2019-11-05 14:00:00+09,1,0,0,0,0,경남,창원시,차대사람,차도통행중,안전운전 의무 불이행,승합차,보행자,2,2705
2019-11-05 14:00:00+09,1,0,0,0,0,대구,동구,차대사람,차도통행중,안전운전 의무 불이행,건설기계,보행자,5,2706
2019-11-05 15:00:00+09,1,0,0,0,0,부산,사상구,차대사람,기타,안전운전 의무 불이행,건설기계,보행자,2,2707
2019-11-05 19:00:00+09,1,0,0,0,0,충북,청주시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,2,2708
